,code,target_date,min_distance,min_s_distance,min_l_p_distance,min_l_p_v_distance,min_distance_name,matching_period
300,301209,20260119,64.31256283409371,169.6175377190298,23.419734842755123,16.0034526638956,瑞达期货-20251020-20251107,['20251226']-['20260119']
229,688081,20260119,64.98954094281862,172.37663558991952,21.061042233947767,17.395593989146093,瑞达期货-20251020-20251107,['20251226']-['20260119']
40,600895,20260119,65.83792796011612,183.52142607710405,11.244437066268102,18.520422542761178,瑞达期货-20251020-20251107,['20251226']-['20260119']
232,300572,20260119,66.28695967894481,189.85421771773082,10.887350314441177,15.161223173233049,瑞达期货-20251020-20251107,['20251226']-['20260119']
377,000948,20260119,66.4089732411501,183.94062368391482,19.374280652837726,13.536254850310819,瑞达期货-20251020-20251107,['20251226']-['20260119']
125,600028,20260119,66.4614061661907,164.01417059989583,35.18342166907432,16.75532121374914,瑞达期货-20251020-20251107,['20251226']-['20260119']
180,002072,20260119,67.90289898753343,186.8531510543103,20.200317833360867,14.467145803080216,瑞达期货-20251020-20251107,['20251226']-['20260119']
141,601519,20260119,69.58204216367102,193.91546448966614,18.66932959955857,14.516509842259039,航天发展-20251017-20251112,['20251222']-['20260119']
72,603236,20260119,70.64733560326029,195.08157555409096,16.747309404696832,17.746675289059908,瑞达期货-20251020-20251107,['20251226']-['20260119']
276,603843,20260119,70.88958406351998,212.50178653108313,1.980048871332751,16.362583606988025,中信证券-20240708-20240730,['20251224']-['20260119']
48,300652,20260119,70.95038665272457,198.2337682883453,18.127505161620515,15.105011544337103,华纳药厂-20250409-20250512,['20251218']-['20260119']
58,002600,20260119,71.28056302927462,206.76158712149686,10.429314923216705,15.308231039651359,瑞达期货-20251020-20251107,['20251226']-['20260119']
308,301383,20260119,72.0195272144928,205.86755463439934,11.00370868290072,17.395370548256953,瑞达期货-20251020-20251107,['20251226']-['20260119']
293,603507,20260119,72.39488982802247,214.51914607621015,5.641263556897787,15.86691734522522,航天发展-20251017-20251112,['20251222']-['20260119']
57,688010,20260119,72.67284907392376,196.04482532676874,23.99009447631495,16.65593283249663,瑞达期货-20251020-20251107,['20251226']-['20260119']
240,600568,20260119,72.71128411773661,224.28565752742972,3.1705111427006503,11.186083791743773,中信证券-20240708-20240730,['20251224']-['20260119']
181,301070,20260119,72.74524541306226,209.0919549666672,11.157376123536661,16.676115215002795,瑞达期货-20251020-20251107,['20251226']-['20260119']
